op1,op,op2,correct,strategy,rt
4,x,1,0,retrieve,1.43140589569161
5,x,1,0,retrieve,0.905827664399093
7,x,3,0,retrieve,1.3450340136054422
5,x,9,0,retrieve,1.5901814058956916
7,x,2,0,retrieve,1.0481179138321997
1,x,3,0,retrieve,0.9251473922902494
7,x,1,0,retrieve,0.847936507936508
6,x,3,0,procedure,1.2973015873015874
1,x,3,0,retrieve,0.8994784580498866
8,x,9,2,procedure,1.4918367346938777
3,x,1,0,retrieve,0.9699092970521542
9,x,2,0,retrieve,2.0470521541950113
2,x,8,0,retrieve,1.4617913832199547
4,x,3,0,retrieve,1.3286167800453514
1,x,4,0,retrieve,1.0020861678004536
4,x,2,0,retrieve,1.27140589569161
8,x,5,0,retrieve,1.7563038548752834
5,x,6,2,retrieve,2.1714965986394557
6,x,7,3,procedure,0.0
7,x,8,0,procedure,2.017006802721089
9,x,4,4,procedure,1.1870521541950114
3,x,4,0,retrieve,1.072312925170068
2,x,1,0,retrieve,1.2059410430839002
3,x,4,0,retrieve,1.1109977324263038
1,x,2,0,retrieve,1.082517006802721
2,x,3,0,retrieve,1.556734693877551
3,x,4,0,retrieve,1.029047619047619
4,x,1,0,retrieve,0.9454195011337868
5,x,2,0,retrieve,1.1375056689342404
8,x,3,0,procedure,2.4802721088435375
5,x,8,0,retrieve,1.469546485260771
3,x,1,0,retrieve,1.0370975056689342
2,x,4,0,retrieve,0.95421768707483
2,x,5,0,retrieve,1.4194557823129252
3,x,1,0,retrieve,0.9805442176870748
2,x,5,0,retrieve,1.0016780045351474
2,x,4,0,retrieve,1.176575963718821
3,x,8,0,procedure,1.8004761904761906
1,x,5,0,retrieve,0.851859410430839
2,x,1,0,retrieve,0.8414739229024943
4,x,2,0,retrieve,0.966938775510204
8,x,6,0,procedure,1.82437641723356
2,x,4,0,retrieve,1.128095238095238
9,x,8,2,procedure,1.7036281179138322
8,x,1,0,retrieve,0.9502721088435374
3,x,4,0,retrieve,1.1566213151927438
9,x,6,4,procedure,2.7891156462585034
2,x,5,0,retrieve,1.904126984126984
4,x,7,4,procedure,5.511292517006803
4,x,3,0,retrieve,1.0301133786848071
3,x,5,0,retrieve,1.2891383219954649
9,x,1,0,retrieve,1.3126984126984127
1,x,5,0,retrieve,1.031904761904762
4,x,8,2,procedure,2.3151473922902492
8,x,7,0,procedure,1.8302267573696145
2,x,7,0,procedure,1.29437641723356
1,x,9,0,retrieve,1.2991609977324263
5,x,2,0,retrieve,1.0899092970521542
1,x,5,0,retrieve,0.8256689342403628
1,x,2,0,retrieve,0.7929705215419501
6,x,5,2,retrieve,1.499750566893424
5,x,7,0,retrieve,1.683469387755102
4,x,2,0,retrieve,1.8092290249433107
9,x,3,0,procedure,3.4334013605442175
3,x,1,0,retrieve,0.927687074829932
7,x,9,0,procedure,3.4044897959183675
4,x,9,0,procedure,1.8694784580498869
6,x,8,0,procedure,2.5458956916099775
2,x,3,0,retrieve,1.161133786848073
1,x,3,0,retrieve,0.9166439909297052
5,x,2,0,retrieve,0.932607709750567
3,x,7,0,retrieve,1.39140589569161
3,x,1,0,retrieve,0.9361904761904762
2,x,9,0,retrieve,1.7998185941043083
3,x,2,0,retrieve,0.9362585034013604
1,x,8,0,retrieve,0.8697052154195012
2,x,3,0,retrieve,1.3010884353741496
2,x,4,0,retrieve,1.3214739229024943
1,x,2,0,retrieve,0.9859637188208616
3,x,2,0,retrieve,0.9090022675736962
1,x,5,0,retrieve,0.8403174603174604
7,x,5,0,procedure,1.3027210884353742
4,x,3,0,retrieve,2.282154195011338
6,x,1,0,retrieve,0.8548299319727891
7,x,4,4,procedure,0.0
1,x,4,0,retrieve,0.9240589569160996
2,x,6,0,retrieve,1.3445804988662131
1,x,7,0,retrieve,0.7528344671201814
7,x,6,0,procedure,3.948095238095238
8,x,4,2,procedure,2.057732426303855
9,x,5,0,retrieve,1.7022675736961452
1,x,4,0,retrieve,0.9976417233560092
3,x,2,0,retrieve,0.939297052154195
8,x,2,0,retrieve,1.1769614512471656
4,x,1,0,retrieve,0.839546485260771
1,x,3,0,retrieve,0.9710204081632652
2,x,1,0,retrieve,0.809795918367347
5,x,3,0,retrieve,1.3868934240362811
2,x,4,0,retrieve,0.9825850340136054
2,x,1,0,retrieve,0.8199319727891157
4,x,2,0,retrieve,0.9899773242630384
4,x,3,0,retrieve,1.1878684807256237
9,x,7,0,retrieve,2.158140589569161
5,x,2,0,retrieve,1.1585260770975057
5,x,1,0,retrieve,1.159092970521542
3,x,2,0,retrieve,0.8431065759637189
5,x,1,0,retrieve,0.8226077097505669
1,x,6,0,retrieve,0.8318820861678005
1,x,4,0,retrieve,0.9906802721088436
1,x,2,0,retrieve,1.073718820861678
4,x,1,0,retrieve,0.8568253968253968
2,x,5,0,retrieve,0.9956009070294785
2,x,3,0,retrieve,0.9502721088435374
6,x,9,0,procedure,3.0521768707482995
3,x,4,0,retrieve,0.9562585034013604
2,x,5,0,retrieve,0.8484126984126984
2,x,3,0,retrieve,1.0660544217687076
6,x,4,0,procedure,4.457437641723356
4,x,1,0,retrieve,0.0
5,x,1,0,retrieve,0.8492063492063492
6,x,2,0,retrieve,1.0481179138321997
2,x,1,0,retrieve,0.8165079365079365
4,x,5,0,retrieve,2.7592743764172334
1,x,5,0,retrieve,0.8648072562358277
3,x,6,0,retrieve,1.442290249433107
4,x,6,0,procedure,1.974467120181406
3,x,9,0,procedure,1.6045578231292517
5,x,4,4,retrieve,0.0
5,+,1,0,procedure,1.2215419501133786
8,+,9,0,procedure,1.4836507936507937
6,+,5,0,retrieve,1.9152154195011335
5,+,2,0,retrieve,1.0770748299319728
2,+,3,0,retrieve,1.6338775510204082
3,+,1,0,procedure,1.2524716553287982
7,+,5,0,retrieve,1.3433786848072562
2,+,1,0,procedure,0.9663038548752836
1,+,3,0,retrieve,0.939501133786848
5,+,1,0,procedure,0.8630385487528345
7,+,9,2,procedure,1.1854648526077098
5,+,7,0,retrieve,1.4263265306122448
4,+,9,0,retrieve,1.9343537414965983
6,+,3,0,procedure,1.1992743764172336
1,+,3,0,retrieve,0.8917913832199547
5,+,2,0,retrieve,0.849954648526077
1,+,4,0,procedure,0.8837868480725624
1,+,2,0,procedure,0.9931292517006802
2,+,4,0,retrieve,1.1176643990929704
5,+,8,0,procedure,1.2144897959183674
4,+,1,0,procedure,0.8967120181405895
9,+,2,0,procedure,1.2903628117913832
1,+,5,0,procedure,0.7827210884353741
8,+,5,0,retrieve,1.0515646258503402
4,+,2,0,retrieve,1.074580498866213
2,+,3,0,retrieve,1.2368253968253968
9,+,4,0,procedure,1.1555102040816327
4,+,1,0,procedure,0.9732879818594103
9,+,3,0,procedure,1.145374149659864
5,+,1,0,procedure,0.8593197278911565
4,+,3,0,retrieve,1.5006802721088437
8,+,1,0,procedure,1.1809297052154195
1,+,6,0,retrieve,0.9210884353741496
3,+,2,0,retrieve,1.0720861678004534
2,+,5,0,retrieve,0.8720861678004536
2,+,6,0,procedure,1.120498866213152
6,+,1,0,procedure,0.8773242630385487
1,+,5,0,procedure,0.8933560090702948
4,+,3,0,retrieve,1.046530612244898
2,+,7,0,retrieve,1.1124263038548752
3,+,8,0,procedure,2.13843537414966
9,+,6,0,retrieve,1.2580725623582767
3,+,9,0,procedure,1.1477324263038549
4,+,1,0,procedure,0.9254195011337868
2,+,5,0,retrieve,0.9542857142857144
4,+,2,0,retrieve,0.8741950113378685
3,+,6,0,retrieve,0.8999092970521542
9,+,8,0,retrieve,1.0619501133786848
4,+,8,0,procedure,1.5151700680272109
3,+,4,0,retrieve,1.3380498866213153
4,+,5,0,retrieve,1.7798866213151927
5,+,3,0,retrieve,1.0289795918367346
4,+,1,0,procedure,0.9410204081632652
7,+,3,0,retrieve,1.4714285714285715
1,+,2,0,procedure,0.9551927437641724
3,+,1,0,procedure,0.953764172335601
2,+,1,0,procedure,0.8453968253968254
6,+,2,0,retrieve,1.466122448979592
5,+,1,0,procedure,0.8534467120181406
8,+,2,0,retrieve,1.0709523809523809
4,+,3,0,retrieve,0.9136507936507936
1,+,3,0,retrieve,0.980702947845805
3,+,4,0,retrieve,0.8644671201814059
5,+,9,2,procedure,1.22281179138322
2,+,5,0,retrieve,1.0151927437641723
8,+,7,2,retrieve,1.3454195011337868
1,+,5,0,procedure,1.106893424036281
7,+,1,0,procedure,0.9885034013605444
6,+,4,0,retrieve,1.3378004535147392
3,+,2,0,retrieve,1.26843537414966
3,+,1,0,procedure,0.8921768707482993
2,+,4,0,retrieve,0.9665079365079364
9,+,5,2,retrieve,1.0264172335600907
1,+,5,0,procedure,1.6751927437641725
3,+,1,0,procedure,1.1575510204081632
3,+,4,0,retrieve,0.976689342403628
5,+,6,0,retrieve,1.2479591836734694
3,+,5,0,retrieve,2.0037414965986393
2,+,5,0,retrieve,1.11718820861678
1,+,3,0,retrieve,0.9037868480725624
2,+,3,0,retrieve,1.175124716553288
9,+,7,0,procedure,1.161156462585034
2,+,3,0,retrieve,0.9801814058956916
4,+,2,0,retrieve,1.2937641723356008
3,+,4,0,retrieve,1.5441496598639457
1,+,2,0,procedure,0.9914285714285714
2,+,4,0,retrieve,1.729387755102041
3,+,1,0,procedure,1.0943537414965987
7,+,4,0,retrieve,1.9792743764172336
6,+,7,0,procedure,1.7912244897959184
2,+,1,0,procedure,1.022562358276644
6,+,9,0,retrieve,1.3494784580498866
5,+,2,0,retrieve,0.9960090702947846
7,+,6,0,procedure,1.0992290249433108
2,+,9,0,retrieve,1.6041496598639455
5,+,4,0,procedure,1.336371882086168
2,+,3,0,retrieve,1.3525396825396825
5,+,2,0,retrieve,0.9090249433106576
7,+,8,0,procedure,1.2569160997732427
3,+,7,0,retrieve,1.0243310657596372
4,+,2,0,retrieve,1.1463945578231292
8,+,6,2,procedure,1.3018820861678004
1,+,2,0,procedure,1.0114739229024945
6,+,8,0,procedure,1.862312925170068
3,+,4,0,retrieve,0.9959410430839002
1,+,7,0,procedure,1.0316780045351477
8,+,3,0,procedure,1.5536961451247169
1,+,4,0,procedure,1.010702947845805
4,+,3,0,retrieve,1.1731292517006802
8,+,4,0,retrieve,1.3952380952380952
2,+,4,0,retrieve,1.5670748299319728
4,+,1,0,procedure,0.9460997732426304
1,+,5,0,procedure,0.9998639455782312
1,+,9,0,retrieve,1.203877551020408
3,+,2,0,retrieve,1.28718820861678
4,+,7,0,procedure,1.8365986394557825
2,+,4,0,retrieve,1.0310657596371882
1,+,8,0,retrieve,0.934965986394558
3,+,2,0,retrieve,1.1225850340136054
7,+,2,0,retrieve,1.043877551020408
4,+,6,0,retrieve,1.140997732426304
2,+,1,0,procedure,0.957596371882086
1,+,4,0,procedure,0.9624263038548752
2,+,8,0,retrieve,1.2168253968253968
2,+,1,0,procedure,1.022403628117914
9,+,1,0,retrieve,0.9088662131519274
1,+,4,0,procedure,0.87859410430839
2,+,5,0,retrieve,0.9283219954648526
3,x,2,0,retrieve,1.3924036281179135
4,x,2,0,retrieve,0.8529705215419501
8,x,3,0,procedure,3.347052154195011
1,x,3,0,retrieve,0.8032879818594104
4,x,2,0,retrieve,0.8752154195011338
3,x,7,0,retrieve,1.1263038548752835
1,x,5,0,retrieve,0.8440136054421769
3,x,8,0,procedure,2.146734693877551
3,x,4,0,retrieve,1.1421995464852608
9,x,3,0,procedure,2.1358503401360545
2,x,3,0,retrieve,1.000702947845805
5,x,2,0,retrieve,1.074013605442177
4,x,3,0,retrieve,1.102358276643991
9,x,2,0,retrieve,1.2910657596371882
1,x,4,0,retrieve,1.0969160997732426
4,x,2,0,retrieve,0.9828344671201814
2,x,6,0,retrieve,1.1797278911564626
3,x,1,0,retrieve,1.0768707482993198
4,x,3,0,retrieve,1.0782993197278912
1,x,4,0,retrieve,0.9021995464852608
3,x,6,0,retrieve,1.567437641723356
4,x,5,0,retrieve,1.3265532879818591
9,x,5,0,retrieve,2.3966666666666665
5,x,1,0,retrieve,1.0013605442176872
2,x,1,0,retrieve,0.8587301587301587
2,x,3,0,retrieve,1.0040136054421769
6,x,3,0,procedure,1.3070748299319728
5,x,1,0,retrieve,0.9100453514739228
2,x,3,0,retrieve,1.0910884353741497
4,x,3,0,retrieve,1.176575963718821
5,x,6,0,retrieve,3.1144897959183675
1,x,2,0,retrieve,0.8967573696145125
4,x,1,0,retrieve,0.921201814058957
6,x,5,0,retrieve,1.1119274376417234
3,x,1,0,retrieve,0.8811111111111111
4,x,9,0,procedure,1.832562358276644
3,x,1,0,retrieve,0.9400453514739228
8,x,5,0,retrieve,1.3196371882086169
1,x,8,0,retrieve,0.8589342403628117
7,x,8,0,procedure,4.364263038548753
2,x,5,0,retrieve,1.1429478458049886
4,x,1,0,retrieve,2.41249433106576
5,x,7,0,retrieve,2.6194331065759635
1,x,3,0,retrieve,1.2598866213151927
2,x,4,0,retrieve,1.6943537414965986
3,x,9,0,procedure,1.3808390022675736
8,x,1,0,retrieve,0.8284353741496598
5,x,2,0,retrieve,0.9501814058956916
1,x,2,0,retrieve,0.8224489795918367
3,x,2,0,retrieve,1.3432199546485262
2,x,1,0,retrieve,0.7829024943310657
1,x,4,0,retrieve,0.9226757369614512
5,x,1,0,retrieve,1.263922902494331
2,x,4,0,retrieve,1.1257369614512471
4,x,8,0,procedure,4.045351473922903
1,x,9,0,retrieve,0.8495918367346939
2,x,5,0,retrieve,0.900045351473923
4,x,1,0,retrieve,1.141292517006803
6,x,1,0,retrieve,0.8974149659863946
9,x,7,0,retrieve,1.634421768707483
1,x,2,0,retrieve,0.903469387755102
7,x,3,0,retrieve,1.1546031746031746
7,x,9,0,procedure,1.30843537414966
8,x,7,3,procedure,0.0
3,x,2,0,retrieve,1.11297052154195
2,x,1,0,retrieve,1.064875283446712
2,x,4,0,retrieve,1.0620408163265307
5,x,1,0,retrieve,1.1242403628117914
5,x,9,0,retrieve,1.71421768707483
4,x,7,0,procedure,4.498458049886621
1,x,4,0,retrieve,0.9458956916099772
1,x,3,0,retrieve,0.893718820861678
2,x,7,0,procedure,1.121904761904762
2,x,4,0,retrieve,0.9073922902494332
2,x,5,0,retrieve,0.9004988662131519
8,x,4,2,procedure,2.4250113378684808
5,x,4,0,retrieve,1.4439455782312924
1,x,5,0,retrieve,0.9305895691609978
2,x,9,0,retrieve,0.9973242630385488
1,x,4,0,retrieve,1.0136054421768708
1,x,2,0,retrieve,0.8152380952380952
1,x,3,0,retrieve,0.8532199546485261
5,x,2,0,retrieve,0.884172335600907
4,x,6,2,procedure,1.8370975056689345
5,x,3,0,retrieve,1.3657369614512471
7,x,5,0,procedure,1.9964625850340136
7,x,4,3,procedure,5.112925170068027
1,x,3,0,retrieve,1.1758503401360545
8,x,9,0,procedure,4.268934240362812
7,x,2,0,retrieve,1.1335374149659865
3,x,5,0,retrieve,1.2051927437641723
4,x,1,0,retrieve,0.8493650793650793
2,x,5,0,retrieve,0.8512925170068028
7,x,6,0,procedure,3.0348072562358275
8,x,2,0,retrieve,1.3700226757369611
5,x,2,0,retrieve,0.9689569160997732
3,x,4,0,retrieve,0.97
1,x,6,0,retrieve,0.9148072562358276
4,x,2,0,retrieve,1.0020181405895692
1,x,2,0,retrieve,1.391609977324263
3,x,2,0,retrieve,1.1331065759637189
9,x,6,0,procedure,3.878208616780045
3,x,4,0,retrieve,1.1903174603174602
6,x,7,0,procedure,2.8714739229024944
5,x,2,0,retrieve,1.2017913832199547
9,x,1,0,retrieve,1.0506349206349206
6,x,2,0,retrieve,1.2908163265306123
1,x,5,0,retrieve,0.8632879818594105
6,x,4,0,procedure,1.6553968253968254
4,x,3,0,retrieve,0.9451020408163264
9,x,4,0,procedure,2.075124716553288
7,x,1,0,retrieve,0.9590702947845804
4,x,2,0,retrieve,0.9875283446712018
9,x,8,0,procedure,1.7054421768707484
2,x,8,0,retrieve,1.4912471655328798
6,x,8,0,procedure,2.152607709750567
3,x,4,0,retrieve,0.9807709750566892
8,x,6,0,procedure,2.0702721088435374
1,x,7,0,retrieve,0.9931292517006802
4,x,3,0,retrieve,0.9394104308390022
6,x,9,2,procedure,1.8974603174603175
5,x,1,0,retrieve,2.3016326530612243
3,x,2,0,retrieve,1.0427891156462583
5,x,8,0,retrieve,1.8735374149659865
2,x,1,0,retrieve,0.9268707482993196
3,x,1,0,retrieve,0.8765759637188208
2,x,3,0,retrieve,1.0293877551020407
1,x,5,0,retrieve,0.822108843537415
1,+,2,0,procedure,0.8656462585034014
8,+,4,0,retrieve,1.4148072562358276
2,+,3,2,retrieve,1.0321315192743763
6,+,3,0,procedure,1.2935374149659864
1,+,7,0,procedure,0.8803174603174603
5,+,7,0,retrieve,1.221156462585034
3,+,4,0,retrieve,1.843673469387755
4,+,2,0,retrieve,1.0731746031746032
8,+,9,0,procedure,1.4643990929705215
1,+,4,0,procedure,0.9368480725623582
7,+,1,0,procedure,0.8615646258503401
3,+,2,0,retrieve,1.055895691609977
7,+,5,0,retrieve,1.1325850340136054
2,+,4,0,retrieve,1.2452834467120182
3,+,1,0,procedure,1.0326757369614512
2,+,9,0,retrieve,1.3898866213151928
6,+,1,0,procedure,1.065124716553288
1,+,3,0,retrieve,0.9481632653061224
1,+,5,0,procedure,0.827687074829932
4,+,1,0,procedure,0.8640816326530613
3,+,1,0,procedure,0.8849659863945578
3,+,6,0,retrieve,0.9641269841269842
2,+,1,0,procedure,0.9600907029478458
5,+,1,0,procedure,0.9498866213151927
9,+,7,0,procedure,1.1607936507936507
1,+,5,0,procedure,0.836281179138322
9,+,2,0,procedure,1.1374603174603175
4,+,8,0,procedure,1.3811337868480726
7,+,4,0,retrieve,1.403718820861678
5,+,1,0,procedure,0.8315419501133787
3,+,4,0,retrieve,1.9587301587301589
1,+,2,0,procedure,0.850453514739229
9,+,4,0,procedure,1.826394557823129
2,+,1,0,procedure,0.8827210884353741
5,+,2,0,retrieve,0.9400226757369614
3,+,2,0,retrieve,1.1304308390022677
4,+,3,0,retrieve,0.9424489795918368
1,+,4,0,procedure,0.9174149659863946
8,+,1,0,procedure,0.8861678004535147
3,+,2,0,retrieve,0.9768707482993196
1,+,3,0,retrieve,0.9696598639455782
4,+,1,0,procedure,0.8749659863945578
5,+,4,0,procedure,0.8710657596371882
2,+,8,0,retrieve,0.9650566893424036
5,+,8,0,procedure,2.325487528344671
1,+,4,0,procedure,0.9722222222222222
4,+,2,0,retrieve,1.3785034013605442
5,+,3,0,retrieve,1.1442630385487529
4,+,2,0,retrieve,0.8955102040816326
8,+,2,0,retrieve,1.130362811791383
3,+,2,0,retrieve,1.1289569160997732
5,+,6,0,retrieve,1.3404761904761904
2,+,4,0,retrieve,1.4460997732426304
6,+,9,0,retrieve,1.2204308390022676
4,+,7,0,procedure,1.4107482993197278
3,+,9,0,procedure,1.148185941043084
6,+,4,0,retrieve,1.1809297052154195
2,+,7,0,retrieve,1.4536054421768707
2,+,1,0,procedure,1.0721995464852607
5,+,2,0,retrieve,0.8507256235827665
4,+,6,0,retrieve,1.0156009070294785
3,+,2,0,retrieve,1.2059637188208616
5,+,2,0,retrieve,0.8866213151927438
4,+,1,0,procedure,1.0506802721088435
5,+,2,0,retrieve,0.8990929705215419
8,+,5,0,retrieve,1.176485260770975
8,+,7,0,retrieve,1.5626757369614512
4,+,3,0,retrieve,1.5777551020408165
1,+,2,0,procedure,1.1151020408163266
1,+,4,0,procedure,0.903219954648526
1,+,5,0,procedure,0.8599546485260771
1,+,2,0,procedure,0.8342630385487528
2,+,3,0,retrieve,0.9574149659863944
7,+,3,0,retrieve,0.9789795918367348
3,+,4,0,retrieve,1.0745351473922902
4,+,9,2,retrieve,1.33281179138322
5,+,2,0,retrieve,1.0243310657596372
9,+,8,0,retrieve,1.257437641723356
5,+,1,0,procedure,0.9421995464852608
6,+,8,0,procedure,2.320544217687075
7,+,8,0,procedure,1.0656916099773244
4,+,2,0,retrieve,1.0259637188208617
9,+,3,0,procedure,1.1424263038548752
1,+,3,0,retrieve,0.9815419501133786
1,+,8,0,retrieve,0.7792517006802722
1,+,2,0,procedure,0.8691609977324263
3,+,7,0,retrieve,1.2520861678004536
3,+,1,0,procedure,1.0624489795918368
9,+,5,0,retrieve,1.1697052154195011
9,+,6,0,retrieve,1.8759183673469388
1,+,6,0,retrieve,1.1650113378684808
1,+,9,0,retrieve,1.4819274376417233
1,+,5,0,procedure,0.994671201814059
4,+,1,0,procedure,0.9036507936507936
6,+,2,0,retrieve,1.01437641723356
2,+,5,0,retrieve,0.8851020408163265
5,+,1,0,procedure,0.8504761904761905
2,+,3,0,retrieve,1.6371201814058958
2,+,6,0,procedure,0.9748299319727892
3,+,8,0,procedure,1.264625850340136
2,+,5,0,retrieve,0.9422675736961452
2,+,4,0,retrieve,1.0917913832199546
6,+,7,0,procedure,1.4019727891156462
2,+,5,0,retrieve,0.9624943310657595
4,+,5,0,retrieve,1.253718820861678
5,+,1,0,procedure,1.2348979591836735
3,+,4,0,retrieve,1.3656916099773242
6,+,5,0,retrieve,1.2441043083900227
8,+,6,0,procedure,1.8091383219954649
3,+,5,0,retrieve,1.2597052154195012
7,+,9,0,procedure,1.3103854875283447
4,+,3,0,retrieve,1.1875283446712015
8,+,3,0,procedure,1.292766439909297
1,+,4,0,procedure,0.9603854875283446
4,+,3,0,retrieve,0.9333786848072564
3,+,1,0,procedure,0.9409977324263038
7,+,6,0,procedure,1.2582766439909296
2,+,4,0,retrieve,1.0764625850340137
5,+,9,0,procedure,1.7526303854875285
2,+,3,0,retrieve,0.9159637188208616
7,+,2,0,retrieve,1.5549886621315192
2,+,5,0,retrieve,1.1724943310657596
4,+,2,0,retrieve,1.1635827664399092
1,+,3,0,retrieve,0.9487528344671202
2,+,1,0,procedure,0.9974603174603176
9,+,1,0,retrieve,0.9075963718820862
4,+,3,0,retrieve,1.1652607709750566
1,+,3,0,retrieve,0.9299319727891155
